epoch,loss,mse,rmse,val_loss,val_mse,val_rmse
0,0.05952422362315701,0.059524227,0.20400119,0.06738244742155075,0.06738245,0.2563056
1,0.0553611601353623,0.055361163,0.20075583,0.028464248403906822,0.028464248,0.16435276
2,0.05904472433030605,0.05904472,0.19856846,0.007509652059525251,0.007509652,0.0784815
3,0.055229098070412874,0.055229094,0.18021797,0.0018911752849817276,0.0018911753,0.035440806
4,0.058400874957442284,0.05840087,0.17456004,0.0042661395855247974,0.0042661396,0.056295376
5,0.05845441405836027,0.058454413,0.17412415,0.0017447089776396751,0.001744709,0.03432205
6,0.04425788053777069,0.04425788,0.15060885,0.0024944753386080265,0.0024944753,0.040189058
7,0.04304011921340134,0.043040108,0.14107169,0.0036239188630133867,0.0036239189,0.051793415
8,0.03494428572594188,0.03494429,0.1331766,0.006185608450323343,0.0061856085,0.07096224
9,0.036862977329292335,0.036862977,0.13749321,0.003295974573120475,0.0032959746,0.049874064
10,0.025675125536508858,0.025675124,0.121397674,0.011637593619525433,0.011637594,0.102916665
11,0.030137299836496823,0.030137299,0.1238088,0.0037074408028274775,0.0037074408,0.053224683
12,0.023014158621663228,0.02301416,0.12220647,0.023372609168291092,0.02337261,0.14943743
13,0.05183736895560287,0.051837362,0.14079133,0.0037464797496795654,0.0037464797,0.055491664
14,0.016504869097843766,0.016504869,0.102653846,0.022128986194729805,0.022128986,0.14527045
15,0.025686399625556078,0.025686402,0.10807127,0.007626227103173733,0.007626227,0.08246984
16,0.011927094994462095,0.011927095,0.08872856,0.011855359189212322,0.011855359,0.10553539
17,0.010045855553471483,0.010045857,0.0792279,0.012157951481640339,0.0121579515,0.10789405
18,0.009742390757310204,0.009742389,0.07871288,0.010378642939031124,0.010378643,0.10010864
19,0.009365065539896023,0.009365066,0.074868664,0.021032243967056274,0.021032244,0.14301446
20,0.008683584310347214,0.008683583,0.07122059,0.010096634738147259,0.010096635,0.09868871
21,0.008026597864954965,0.008026598,0.0672503,0.0047426288947463036,0.004742629,0.056974493
22,0.007903739162429702,0.007903739,0.06876028,0.013894016854465008,0.013894017,0.09669981
